A/Voronezh/1/2016	EPI918499	EPI918500	EPI918498	EPI918502	EPI918495	EPI918501		EPI918495
A/Belgium/G119/2017				EPI1042922		EPI1042923		
A/Brazil/321/2017	EPI1048823	EPI1048824	EPI1048822	EPI1048826	EPI1048819	EPI1048825		EPI1048819
A/Lao/4447/2016	EPI1027099	EPI1027100	EPI1027098	EPI1027102	EPI1027095	EPI1027101		EPI1027095
A/BasseNormandie/785/2017	EPI940704	EPI940705		EPI940707	EPI940701	EPI940706		EPI940701
A/Yokohama/166/2016	EPI970805	EPI970806	EPI970804	EPI970808	EPI970801	EPI970807		EPI970801
A/Stockholm/44/2016	EPI867374	EPI867373	EPI867371	EPI867378	EPI867372	EPI867377		EPI867372
362421								
A/Kawasaki/117/2016				EPI969272		EPI969271		
A/Yokohama/141/2016	EPI873103	EPI873104	EPI873102	EPI873106	EPI873099	EPI873105		EPI873099
351062								
354014								
A/Kanagawa/IC1645/2017				EPI990908		EPI990907		
A/Sapporo/33/2017	EPI1037843	EPI1037844	EPI1037842	EPI1037846	EPI1037839	EPI1037845		EPI1037839
A/Montenegro/227/2016				EPI1010460		EPI1010461		
A/Montenegro/54/2016				EPI917240		EPI917241		
19484654								
350751								
A/SuratThani/429/2016				EPI903901		EPI903900		
A/Singapore/KK1100/2016	EPI874045	EPI874046	EPI874044	EPI874048	EPI874041	EPI874047		EPI874041
A/Finland/684/2016				EPI874791		EPI991394		
A/Linkou/175/2016	EPI997860	EPI998389	EPI998061	EPI998258	EPI997841	EPI998242		EPI997841
A/SuratThani/1836/2016				EPI919303		EPI919302		
A/Fukushima/68/2017	EPI1057765	EPI1057766	EPI1057764	EPI1057768	EPI1057761	EPI1057767		EPI1057761
A/Massachusetts/1/2017	EPI896014	EPI896015	EPI896013	EPI896017	EPI896010	EPI896016		EPI896010
A/Ehime/40/2016				EPI972336		EPI972335		
A/Singapore/TT1374/2016	EPI874029	EPI874030	EPI874028	EPI874032	EPI874025	EPI874031		EPI874025
A/Kanagawa/IC1628/2017				EPI952569		EPI952566		
350626								
A/Singapore/TT1370/2016	EPI874021	EPI874022	EPI874020	EPI874024	EPI874017	EPI874023		EPI874017
A/Singapore/TT1374/2016-egg	EPI1055962	EPI1055963	EPI1055961	EPI1055965	EPI1055958	EPI1055964		EPI1055958
A/Osaka/175/2017	EPI1037939	EPI1037940	EPI1037938	EPI1037942	EPI1037935	EPI1037941		EPI1037935
352742								
352844								
351997								
352604								
A/Lithuania/7612/2017				EPI1043058		EPI1043059		
A/England/65000770/2016	EPI914055	EPI914056	EPI914054	EPI914058	EPI914051	EPI914057		EPI914051
A/London/16U845459-79_S31_L001/2016					EPI1047515	EPI1047516		EPI1047515
A/Newcastle/11/2017				EPI1022052		EPI1022051		
A/England/974/2016	EPI914375	EPI914376	EPI914374	EPI914378	EPI914371	EPI914377		EPI914371
19738980								
A/Belgium/H22/2017				EPI1042946		EPI1042947		
350634								
A/London/66U011435-45_S45_L001/2016	EPI1045754	EPI1045755	EPI1045756	EPI1045758	EPI1045760	EPI1045761		EPI1045760
A/Nevada/6/2017	EPI955779	EPI955780	EPI955778	EPI970370	EPI955775	EPI970369		EPI955775
A/Maryland/23/2016	EPI868421	EPI868422	EPI868420	EPI868424	EPI868417	EPI868423		EPI868417
A/Brisbane/22/2017				EPI1022181		EPI1022180		
A/Kawasaki/123/2017				EPI1126267		EPI1126266		
A/HongKong/3092/2017				EPI1043887		EPI1043888		
A/Brisbane/35/2017				EPI1021967		EPI1021966		
A/Newcastle/24/2017				EPI1022217		EPI1022216		
A/HongKong/2287/2017				EPI1021212		EPI1021213		
A/HongKong/2290/2017				EPI1021218		EPI1021219		
A/Algeria/25/2016				EPI978912		EPI978913		
A/Grenoble/2067/2016	EPI1321582	EPI1321702	EPI1321822	EPI1321942	EPI1322062	EPI1322182		EPI1322062
A/Gorno-Altaysk/1/2016				EPI960166		EPI960167		
A/Simpheropol/RII847S/2016	EPI886535	EPI886536	EPI886534	EPI886538	EPI886531	EPI886537		EPI886531
A/Sergach/RII542S/2016	EPI886330	EPI886331	EPI886329	EPI886333	EPI886326	EPI886332		EPI886326
A/Korsakov/RII908S/2016	EPI886504	EPI886505	EPI886503	EPI886507	EPI886500	EPI886506		EPI886500
A/Odesa/70/2017				EPI1036395		EPI1036396		
A/Kurgan/24/2016	EPI963435	EPI963436	EPI963437	EPI963438	EPI963439	EPI963440		EPI963439
362875								
A/BosniaHerzegovina/35-G/2017				EPI917178		EPI917180		
352779								
A/Tunisia/2786/2017				EPI991765		EPI991766		
A/Catalonia/NSVH100511714/2016				EPI864097		EPI864096		
A/Tanzania/751/2017	EPI1016642	EPI1016643	EPI1016641	EPI1016645	EPI1016638	EPI1016644		EPI1016638
A/Pernambuco/145843-IEC/2017	EPI1048424	EPI1048427	EPI1048423	EPI1048432	EPI1048419	EPI1048429		EPI1048419
A/Brisbane/58/2017				EPI1031584		EPI1031583		
A/Indonesia/Nihrd-Bjm579/2017	EPI1130208	EPI1130209	EPI1130207	EPI1130211	EPI1130204	EPI1130210		EPI1130204
